family,species_ASH
Limnodynastidae,Adelotus brevis
Myobatrachidae,Arenophryne rotunda
Myobatrachidae,Arenophryne xiphorhyncha
Myobatrachidae,Assa darlingtoni
Microhylidae,Austrochaperina adelphe
Microhylidae,Austrochaperina fryi
Microhylidae,Austrochaperina gracilipes
Microhylidae,Austrochaperina pluvialis
Microhylidae,Austrochaperina robusta
Myobatrachidae,Crinia nimbus
Microhylidae,Cophixalus aenigma
Microhylidae,Cophixalus australis
Microhylidae,Cophixalus bombiens
Microhylidae,Cophixalus concinnus
Microhylidae,Cophixalus crepitans
Microhylidae,Cophixalus exiguus
Microhylidae,Cophixalus hinchinbrookensis
Microhylidae,Cophixalus hosmeri
Microhylidae,Cophixalus infacetus
Microhylidae,Cophixalus kulakula
Microhylidae,Cophixalus mcdonaldi
Microhylidae,Cophixalus monticola
Microhylidae,Cophixalus neglectus
Microhylidae,Cophixalus ornatus
Microhylidae,Cophixalus pakayakulangun
Microhylidae,Cophixalus peninsularis
Microhylidae,Cophixalus petrophilus
Microhylidae,Cophixalus saxatilis
Microhylidae,Cophixalus zweifeli
Myobatrachidae,Crinia bilingua
Myobatrachidae,Crinia deserticola
Myobatrachidae,Crinia fimbriata
Myobatrachidae,Crinia flindersensis
Myobatrachidae,Crinia georgiana
Myobatrachidae,Crinia glauerti
Myobatrachidae,Crinia insignifera
Myobatrachidae,Crinia parinsignifera
Myobatrachidae,Crinia pseudinsignifera
Myobatrachidae,Crinia remota
Myobatrachidae,Crinia riparia
Myobatrachidae,Crinia signifera
Myobatrachidae,Crinia sloanei
Myobatrachidae,Crinia subinsignifera
Myobatrachidae,Crinia tasmaniensis
Myobatrachidae,Crinia tinnula
Pelodryadidae,Cyclorana alboguttata
Pelodryadidae,Cyclorana australis
Pelodryadidae,Cyclorana brevipes
Pelodryadidae,Cyclorana cryptotis
Pelodryadidae,Cyclorana cultripes
Pelodryadidae,Cyclorana longipes
Pelodryadidae,Cyclorana maculosa
Pelodryadidae,Cyclorana maini
Pelodryadidae,Cyclorana manya
Pelodryadidae,Cyclorana novaehollandiae
Pelodryadidae,Cyclorana occidentalis
Pelodryadidae,Cyclorana platycephalus
Pelodryadidae,Cyclorana vagitus
Pelodryadidae,Cyclorana verrucosa
Myobatrachidae,Anstisia alba
Myobatrachidae,Geocrinia laevis
Myobatrachidae,Geocrinia leai
Myobatrachidae,Anstisia lutea
Myobatrachidae,Anstisia rosea
Myobatrachidae,Geocrinia victoriana
Myobatrachidae,Anstisia vitellina
Limnodynastidae,Heleioporus albopunctatus
Limnodynastidae,Heleioporus australiacus
Limnodynastidae,Heleioporus barycragus
Limnodynastidae,Heleioporus eyrei
Limnodynastidae,Heleioporus inornatus
Limnodynastidae,Heleioporus psammophilus
Limnodynastidae,Platyplectrum fletcheri
Limnodynastidae,Limnodynastes convexiusculus
Limnodynastidae,Limnodynastes depressus
Limnodynastidae,Limnodynastes dorsalis
Limnodynastidae,Limnodynastes dumerilii dumerilii
Limnodynastidae,Limnodynastes dumerilii fryi
Limnodynastidae,Limnodynastes dumerilii grayi
Limnodynastidae,Limnodynastes dumerilii insularis
Limnodynastidae,Limnodynastes dumerilii variegatus
Limnodynastidae,Limnodynastes fletcheri
Limnodynastidae,Limnodynastes interioris
Limnodynastidae,Limnodynastes lignarius
Limnodynastidae,Limnodynastes peronii
Limnodynastidae,Limnodynastes salmini
Limnodynastidae,Limnodynastes tasmaniensis
Limnodynastidae,Limnodynastes terraereginae
Pelodryadidae,Litoria adelaidensis
Pelodryadidae,Litoria andiirrmalin
Pelodryadidae,Litoria aurea
Pelodryadidae,Litoria aurifera
Pelodryadidae,Litoria axillaris
Pelodryadidae,Litoria barringtonensis
Pelodryadidae,Litoria bella
Pelodryadidae,Litoria bicolor
Pelodryadidae,Litoria booroolongensis
Pelodryadidae,Litoria brevipalmata
Pelodryadidae,Litoria burrowsae
Pelodryadidae,Litoria caerulea
Pelodryadidae,Litoria castanea
Pelodryadidae,Litoria cavernicola
Pelodryadidae,Litoria chloris
Pelodryadidae,Litoria citropa
Pelodryadidae,Litoria cooloolensis
Pelodryadidae,Litoria coplandi
Pelodryadidae,Litoria cyclorhyncha
Pelodryadidae,Litoria dahlii
Pelodryadidae,Litoria daviesae
Pelodryadidae,Litoria dayi
Pelodryadidae,Litoria dentata
Pelodryadidae,Litoria electrica
Pelodryadidae,Litoria eucnemis
Pelodryadidae,Litoria ewingii
Pelodryadidae,Litoria fallax
Pelodryadidae,Litoria freycineti
Pelodryadidae,Litoria gilleni
Pelodryadidae,Litoria gracilenta
Pelodryadidae,Litoria inermis
Pelodryadidae,Litoria infrafrenata
Pelodryadidae,Litoria jervisiensis
Pelodryadidae,Litoria jungguy
Pelodryadidae,Litoria kroombitensis
Pelodryadidae,Litoria latopalmata
Pelodryadidae,Litoria lesueuri
Pelodryadidae,Litoria littlejohni
Pelodryadidae,Litoria longirostris
Pelodryadidae,Litoria lorica
Pelodryadidae,Litoria meiriana
Pelodryadidae,Litoria microbelos
Pelodryadidae,Litoria moorei
Pelodryadidae,Litoria myola
Pelodryadidae,Litoria nannotis
Pelodryadidae,Litoria nasuta
Pelodryadidae,Litoria nigrofrenata
Pelodryadidae,Litoria nudidigitus
Pelodryadidae,Litoria nyakalensis
Pelodryadidae,Litoria olongburensis
Pelodryadidae,Litoria pallida
Pelodryadidae,Litoria paraewingi
Pelodryadidae,Litoria pearsoniana
Pelodryadidae,Litoria peronii
Pelodryadidae,Litoria personata
Pelodryadidae,Litoria phyllochroa
Pelodryadidae,Litoria piperata
Pelodryadidae,Litoria raniformis
Pelodryadidae,Litoria revelata
Pelodryadidae,Litoria rheocola
Pelodryadidae,Litoria rothii
Pelodryadidae,Litoria rubella
Pelodryadidae,Litoria serrata
Pelodryadidae,Litoria spenceri
Pelodryadidae,Litoria splendida
Pelodryadidae,Litoria staccato
Pelodryadidae,Litoria subglandulosa
Pelodryadidae,Litoria tornieri
Pelodryadidae,Litoria tyleri
Pelodryadidae,Litoria verreauxii alpina
Pelodryadidae,Litoria verreauxii verreauxii
Pelodryadidae,Litoria watjulumensis
Pelodryadidae,Litoria wilcoxii
Pelodryadidae,Litoria xanthomera
