diagnosticID,materialSampleID,measurementType,verbatimMeasurementType,verbatimMeasurementUnit,verbatimMeasurementValue,measurementValue,measurementUnit,measurementMethod,measurementSide,measurementRemarks,measurementAccuracy,measurementDeterminedDate,sampleType,diseaseLineage,genotypeMethod,diseaseTested,diseaseTestedPositiveCount,specimenDisposition,diseaseDetected,fatal,testMethod,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,zeScore,ageEstimationMethod,verbatimAgeValue,ageValue,ageUnit,materialSampleType,materialSampleCondition,reproductiveCondition,measurementDeterminedBy,measurementMethodURI,derivedDataType,derivedDataFormat,derivedDataURI,derivedDataFilename,PARInMicroMolQuantaMetersSquaredPerSecond,PARMethod,coralColonyHeightInCentimeters,coralColonyWidth1InCentimeters,coralColonyWidth2InCentimeters,coralColonyColorWatch,coralColonyColorWatch2,coralColonyTissueLoss,coralColonyTissueLossPercent,diseaseObservedName,diseaseObservedPrevalencePercent,coralColonyCyanobacteriaContact,coralColonyCyanobacteriaContactPercent,coralColonyCyanobacteriaOvergrown,coralColonyTurfContact,coralColonyTurfContactPercent,coralColonyTurfOvergrown,coralColonyAlgalContact,coralColonyAlgalcontactsNumber,coralColonyAlgalContactTypes,coralColonyMacroalgalContact,coralColonyMacroalgalContactsNumber,coralColonyMacroalgalContactTypes,coralColonyCCAContact,coralColonyCCAContaactPercent,coralColonyCCAOvergrown,coralColonySeagrassContact,coralColonyParrotfishBites,coralColonyInvertebrateContactTypes,coralColonycoralContactTypes,coralColonySedimentContact,bcid,expeditionCode,projectId,
f65a5914242e9a9ad0a62b350812ad61,777,,,,,,,,,Individual swabs tested,,,tissue,,,Bd,1,,TRUE,FALSE,histology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsD2f65a5914242e9a9ad0a62b350812ad61,release1,300,
bed0618744052d4de0902a0acc5bc82d,333,,,,,,,,,,,,swabbing,,,Bd,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV2bed0618744052d4de0902a0acc5bc82d,zawacki,222,
df84c5ebf1169edcbf0c56e9c1f607f1,280,,,,,,,,,,,,swabbing,,,Bd,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV2df84c5ebf1169edcbf0c56e9c1f607f1,zawacki,222,
bdb8fc37b021e5728d119718583f6cfc,167,,,,,,,,,,,,swabbing,,,Bd,,,TRUE,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV2bdb8fc37b021e5728d119718583f6cfc,zawacki,222,
cdcb5f9251673fa4653a23ca3968872c,417,,,,,,,,,,,,swabbing,,,Bd,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV2cdcb5f9251673fa4653a23ca3968872c,zawacki,222,
c8bf6f44fd917ff76abed01775de0d52,445,,,,,,,,,,,,swabbing,,,Bd,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV2c8bf6f44fd917ff76abed01775de0d52,zawacki,222,
f8b1c5c295c1839dbc68764f8a9b3caa,472,,,,,,,,,,,,swabbing,,,Bd,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV2f8b1c5c295c1839dbc68764f8a9b3caa,zawacki,222,
a3dce29c934b84b6f99ab7c52b0a33c4,166,,,,,,,,,,,,swabbing,,,Bd,,,TRUE,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV2a3dce29c934b84b6f99ab7c52b0a33c4,zawacki,222,
36a49601ec3cf5573f497efbe900d019,165,,,,,,,,,,,,swabbing,,,Bd,,,TRUE,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV236a49601ec3cf5573f497efbe900d019,zawacki,222,
6ae37e534c2f203d47e0ac32aff82fb3,343,,,,,,,,,,,,swabbing,,,Bd,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV26ae37e534c2f203d47e0ac32aff82fb3,zawacki,222,
1c6715d4100c51ee3fb94ae3c8949e74,164,,,,,,,,,,,,swabbing,,,Bd,,,TRUE,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV21c6715d4100c51ee3fb94ae3c8949e74,zawacki,222,
947e9623c0c623319605b3e6cf59295e,163,,,,,,,,,,,,swabbing,,,Bd,,,TRUE,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQV2947e9623c0c623319605b3e6cf59295e,zawacki,222,
ec5b71b83bd524e9882f2c9e7f39074b,21543,,,,,,,,,Individual swabs tested,,,swabbing,,,Bd,21,,TRUE,FALSE,quantitative PCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsD2ec5b71b83bd524e9882f2c9e7f39074b,release1,300,
15c8f51270a223c20e06d016f3578b76,21542,,,,,,,,,Individual swabs tested,,,swabbing,,,Bd,124,,TRUE,FALSE,quantitative PCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsD215c8f51270a223c20e06d016f3578b76,release1,300,
776d43dc7792583dfe8b33f51b924426,26757,,,,,,,,,Individual swabs tested; Date range 2007-5-9 to 2007-5-9,,,swabbing,,,Bd,20,,TRUE,FALSE,quantitative PCR,,,,lab of Principal Investigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsQ2776d43dc7792583dfe8b33f51b924426,release2,300,
582c0a5d1f61b01be77a421a9a191d5d,38319,,,,,,,,,Individual swabs tested; Date range 2009-3- to 2009-3-,,,swabbing,,,Bd,20,,TRUE,FALSE,quantitative PCR,,,,lab of Principal Investigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsQ2582c0a5d1f61b01be77a421a9a191d5d,release2,300,
bcf06bac299d85bacd0d50aab912db71,38322,,,,,,,,,Individual swabs tested; Date range 2009-3- to 2009-3-,,,swabbing,,,Bd,32,,TRUE,FALSE,quantitative PCR,,,,lab of Principal Investigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsQ2bcf06bac299d85bacd0d50aab912db71,release2,300,
644fd9c4ca3288daa16b3c19c98d43a9,7030,,,,,,,,,Individual swabs tested,,,tissue,,,Bd,15,,TRUE,FALSE,histology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsD2644fd9c4ca3288daa16b3c19c98d43a9,release1,300,
4e1a898f454f2d6abda2a5a466b942dc,31929,,,,,,,,,Individual swabs tested;,,,swabbing,,,Bd,10,,TRUE,FALSE,quantitative PCR,,,,lab of Principal Investigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsQ24e1a898f454f2d6abda2a5a466b942dc,release2,300,
