country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,sampleCollectionDeviceEvent,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,latestChronometricAge,latestChronometricAgeReferenceSystem,earliestChronometricAge,earliestChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,verbatimChronometricAge,materialDated,uncalibratedChronometricAge,chronometricAgeDeterminedBy,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,waterTemperatureInDegreesCelsius,waterSurfaceTemperatureInDegreesCelsius,bcid,expeditionCode,projectId,
Australia,"Melbourne, Victoria",1998,00601cffeaebd98365d648fe0cfeb48a,"Berger, Lee - Lee.Berger[at]dah.csiro.au",,,,Australasia,,,,300012,,-37.8142,144.9632,,,,,,,,,,,,,,,,,,,"Google Earth, based on location name",,,,,,,D | 1 | 1,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB200601cffeaebd98365d648fe0cfeb48a,release1,300,
Australia,Unknown,2013,006605a0ab92b9da6ffb6171885c833b,Laura Brannelly,,,Laura Brannelly,,,,17,,,-36.359,148.484,,,,,,,,,,,,,,,,,30,,,,,,1519,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQT2006605a0ab92b9da6ffb6171885c833b,zawacki,222,
Australia,"Merri Creek catchment, north outskirts of Melbourne",2004,00822ad48437d3528d16939e4257299c,"Heard, Geoffrey - heardg[at]unimelb.edu.au",,,,Australasia,,,,300903,,-34.632222,144.956667,,,,,,,,,,,,,,,,,,,"DMS, converted",,,,,,,D | 1 | 1,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB200822ad48437d3528d16939e4257299c,release1,300,
Australia,Tully Gorge National Park,2007,0097f03a77c3a8674a0e13289607a756,"Grogan, Laura - l.grogan[at]griffith.edu",,,,Australasia,,,9,301057,,-17.766667,145.633333,,,,,,,,,,,,,,,,,,,"DMS, converted",,,,,5,,D | 1 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN20097f03a77c3a8674a0e13289607a756,release2,300,
Australia,Thornton Uplands and Carbine Tablelands,2009,00a9983edcbda0616a3996614f2622aa,"Puschendorf, Robert",,,,Australasia,,,,301698,,-16.32,145.28,,,,,,,,,,,,,,,,,,,decimal degrees to 2 dec pts coordinates given as corners of region sampled,,,,,3,,D | 2 | 2,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN200a9983edcbda0616a3996614f2622aa,release2,300,
Australia,"Westgid Creek, near Bellenden Ker, NQ",2000,0101db34dfe65e66ea15662fa713f009,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300815,,-17.26988,145.90118,,,,,,,,,,,,,,185,,,,,Decimal degrees,,,,185,,,D | 1 | 2,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB20101db34dfe65e66ea15662fa713f009,release1,300,
Australia,Murphys Swamp,2012,0114e92874f9c475c77bc98f7fdaf959,"Brannelly, Laura - laura.brannelly[at]my.jcu.edu.au",,,,Australasia,,,,301018,,-35.452253,148.394819,,,,,,,,,,,,,,1239,,,,,"Google Earth, NSW topo maps",,,,,,,D | 1 | 1,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN20114e92874f9c475c77bc98f7fdaf959,release2,300,
Australia,"Boy-Ull Creek - above Twin Falls, Nerang River catchment",2005,012a84ebe04b113f041963c72c1f7bb6,"Kriger, Kerry M - kerry[at]savethefrogs.com",,,,Australasia,,,,300569,,-28.226111,153.276111,,,,,,,,,,,,,,760,,,,,"DMS, converted",,,,760,,,D | 2 | 2,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2012a84ebe04b113f041963c72c1f7bb6,release1,300,
Australia,"Bundoomba Creek, Lamington National Park",2002,014a6e783f05fe2c2111067cb2b390a2,"Symonds, Emma P (Pearl) - pearl66[at]bigpond.com.au",,,,Australasia,,,,300140,,-28.21667,153.13333,,,,,,,,,,,,,,530,,,,,"DMS, converted",,,,530,,,D | 1 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2014a6e783f05fe2c2111067cb2b390a2,release1,300,
Australia,Midland,1992,014cc0313cc48d15b2436879d5d2bdff,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300507,,-31.85,116.03333,,,,,,,,,,,,,,119,,,,,Decimal degrees,,,,119,,,D | 1 | 3,Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2014cc0313cc48d15b2436879d5d2bdff,release1,300,
