eventID,length,lengthUnits,weight,weightUnits,fixative,institutionCode,institutionID,collectionCode,traditionalKnowledgeNotice,individualCount,preparationType,preservative,relaxant,typeStatus,nomenclaturalCode,associatedMedia,associatedReferences,references,license,informationWithheld,dynamicProperties,datasetName,sampleEnteredBy,catalogNumber,boldBIN,fieldNumber,genbankSpecimenVoucher,modifiedBy,modifiedReason,occurrenceRemarks,otherCatalogNumbers,materialSampleID,occurrenceID,organismID,organismQuantity,organismQuantityType,individualID,subProject,subSubProject,boldProcessID,voucherURI,voucherCatalogNumber,associatedTaxa,establishmentMeans,organismRemarks,identificationRemarks,class,colloquialName,nameOfIndividual,dayIdentified,basisOfRecord,family,genus,identifiedBy,identificationVerificationStatus,infraClass,infraOrder,kingdom,lifeStage,verbatimLifeStage,taxonRank,monthIdentified,morphospeciesDescription,morphospeciesMatch,order,phylum,previousIdentifications,scientificName,sex,specificEpithet,subClass,subFamily,subGenus,subOrder,subPhylum,infraspecificEpithet,subTribe,superClass,superFamily,superOrder,taxonRemarks,tribe,wormsID,yearIdentified,sampleMaterialProcessing,sampleSizeFractionation,sampleSize,sampleSizeUnits,sampleName,sampleCollectionDevice,bcid,expeditionCode,projectId,
00601cffeaebd98365d648fe0cfeb48a,,,,,,,,,,1,,,,,,,"Berger et al. 1999  | Berger L, Speare R, Hyatt AD (1999) Chytrid fungi and amphibian declines: overview, implications and future directions. In: Campbell A (ed.) Declines and disappearances of Australian frogs. Environment Australia, Canberra, pp 23_33.",,,,,,,,,,,,,Single to Few mortality observed | captive,,777,,,,,,,,,,,,Native,Captive,,,,,,Event,,Limnodynastes,,,,,,,,,,,,,,,,,dumerilii,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsC2777,release1,300,
006605a0ab92b9da6ffb6171885c833b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,,,,,,,Litoria,,,,,,,,,,,,,,,,,verreauxii,,,,,,alpina,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQU2333,zawacki,222,
006605a0ab92b9da6ffb6171885c833b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,Litoria,,,,,,,,,,,,,,,,,verreauxii,,,,,,alpina,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQU2280,zawacki,222,
006605a0ab92b9da6ffb6171885c833b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,Crinia,,,,,,,,,,,,,,,,,signifera,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQU2167,zawacki,222,
006605a0ab92b9da6ffb6171885c833b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,,,,,,,,,,,,,,,,,,,,,Litoria,,,,,,,,,,,,,,,,,verreauxii,,,,,,alpina,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQU2417,zawacki,222,
006605a0ab92b9da6ffb6171885c833b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,,,,,,,,,,,,,,,,,,,,,Litoria,,,,,,,,,,,,,,,,,verreauxii,,,,,,alpina,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQU2445,zawacki,222,
006605a0ab92b9da6ffb6171885c833b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,,,,,,,Litoria,,,,,,,,,,,,,,,,,verreauxii,,,,,,alpina,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQU2472,zawacki,222,
006605a0ab92b9da6ffb6171885c833b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,Crinia,,,,,,,,,,,,,,,,,signifera,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQU2166,zawacki,222,
006605a0ab92b9da6ffb6171885c833b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,Crinia,,,,,,,,,,,,,,,,,signifera,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQU2165,zawacki,222,
006605a0ab92b9da6ffb6171885c833b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,,,,,,,,,,,,,,,,,,,,,Litoria,,,,,,,,,,,,,,,,,verreauxii,,,,,,alpina,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQU2343,zawacki,222,
