genus,spp
Taudactylus,diurnus
Taudactylus,acutirostris
Taudactylus,rheophilus
Litoria,nyakalensis
Litoria,piperata
Rheobatrachus,silus
Rheobatrachus,vitellinus
Pseudophryne,corroboree
Pseudophryne,pengilleyi
Philoria,frosti
Taudactylus,pleione
Litoria,spenceri
Litoria,castanea
Litoria,lorica
Litoria,raniformis
Litoria,aurea
Litoria,booroolongensis
Litoria,verreauxii
Litoria,dayi
Taudactylus,eungellensis
Litoria,pearsoniana
Litoria,rheocola
Litoria,nannotis
Mixophyes,balbus
Mixophyes,iteratus
Mixophyes,fleayi
Pseudophryne,bibronii
Pseudophryne,dendyi
Adelotus,brevis
Taudactylus,liemi
Litoria,serrata
Litoria,lesueuri
Litoria,jungguy
Litoria,wilcoxii
Litoria,barringtonensis
Litoria,verreauxii
Litoria,daviesae
Litoria,subglandulosa
Litoria,nudidigitus
Litoria,littlejohni
Litoria,kroombitensis
Litoria,caerulea
Geocrinia,victoriana
Litoria,longirostris
Litoria,burrowsae
Litoria,andiirmalin
