"species"
"Adelotus brevis"
"Anstisia alba"
"Cophixalus ornatus"
"Crinia georgiana"
"Crinia glauerti"
"Crinia insignifera"
"Crinia pseudinsignifera"
"Crinia signifera"
"Cyclorana alboguttata"
"Heleioporus eyrei"
"Limnodynastes peronii"
"Limnodynastes tasmaniensis"
"Litoria adelaidensis"
"Litoria aurea"
"Litoria caerulea"
"Litoria chloris"
"Litoria dayi"
"Litoria eucnemis"
"Litoria ewingii"
"Litoria fallax"
"Litoria gracilenta"
"Litoria inermis"
"Litoria latopalmata"
"Litoria lesueuri"
"Litoria moorei"
"Litoria nannotis"
"Litoria nasuta"
"Litoria pearsoniana"
"Litoria peronii"
"Litoria raniformis"
"Litoria rheocola"
"Litoria rothii"
"Litoria rubella"
"Litoria serrata"
"Litoria verreauxii"
"Litoria wilcoxii"
"Mixophyes fasciolatus"
"Mixophyes fleayi"
"Mixophyes iteratus"
"Pseudophryne corroboree"
"Pseudophryne pengilleyi"
"Taudactylus eungellensis"
